Certificate,Company
ISO 9001,iskodenim
ISO 14001,infosys
ISO 14001,iskodenim
USDA,drbronner
USDA,Ecological Farming Control Organization
USDA,__Test_Certifier
USDA,ACO Certification Ltd.
USDA,Americert International
USDA,Baystate Organic Certifiers
USDA,Bio Latina S.A.C.
USDA,Bio.Inspecta
USDA,BioAgriCert
USDA,Bio-Hellas S.A.
USDA,CAUCASCERT LLC
USDA,CCOF Certification Services
USDA,CCPB Srl
USDA,CERES CERtification of Environmental Standards GmbH
USDA,Certificadora de Productos Organicos Eco-LOGICA S.A. (formerly Eco-LOGICA S.A.)
USDA,Certificadora Mexicana de Productos y Procesos Ecologicos SC
USDA,Clemson University
USDA,Colorado Department of Agriculture
USDA,Control Union Certifications B.V.
USDA,Ecocert SAS (formerly Ecocert SA)
USDA,Ecoglobe
USDA,Ecological Farming Control Organization
USDA,Ekoagros
USDA,Food Safety S.A.
USDA,Georgia Crop Improvement Association
USDA,Global Organic Alliance
USDA,Idaho State Department of Agriculture
USDA,IMOcert Latinoamerica LTDA
USDA,Iowa Department of Agriculture and Land Stewardship
USDA,Istituto per la Certificazione Etica e Ambientale
USDA,Kentucky Department of Agriculture
USDA,Kiwa BCS Costa Rica Limitada
USDA,Kiwa BCS Öko-Garantie GmbH
USDA,LETIS S.A.
USDA,Marin Organic Certified Agriculture
USDA,Maryland Department of Agriculture
USDA,Mayacert S.A.
USDA,Midwest Organic Services Association
USDA,Minnesota Crop Improvement Association
USDA,MOFGA Certification Services
USDA,Montana Department of Agriculture
USDA,Monterey County Certified Organics
USDA,Natural Food Certifiers
USDA,Nature's International Certification Services
USDA,NOFA-NY Certified Organic
USDA,Ohio Ecological Food and Farm Association
USDA,Oklahoma Department of Agriculture
USDA,OneCert International Private Limited
USDA,OneCert
USDA,OnMark Certification Services
USDA,Oregon Department of Agriculture
USDA,Oregon Tilth Certified Organic
USDA,Organic Certifiers
USDA,Organic Crop Improvement Association
USDA,Organización Internacional Agropecuaria
USDA,Pennsylvania Certified Organic
USDA,Perry Johnson Registrars Food Safety
USDA,Primus Auditing Operations
USDA,Pro-Cert Organic Systems
USDA,QIMA (formerly IBD Certifications)
USDA,Quality Assurance International
USDA,Quality Certification Services
USDA,SCS Global Services
USDA,Servicio de Certificación CAAE S.L.U.
USDA,Southern Cross Certified Australia Pty Ltd.
USDA,SRS Certification GmbH
USDA,Suolo E Salute SRL
USDA,Texas Department of Agriculture
USDA,Tse-Xin Organic Certification Corporation
USDA,Utah Department of Agriculture and Food
USDA,Vermont Organic Farmers
USDA,Washington State Department of Agriculture
USDA,Where Food Comes From Organic
USDA,Yolo County Department of Agriculture
ISO 9001,Thomson-Gordon Group
ISO 9001,Senstar-Stellar Corporation
ISO 9001,Regency Plastics Company Ltd.
ISO 9001,Public Works and Government Services Canada - Pacific Region - Real Property Service Branch
ISO 9001,Public Services and Procurement Canada - Imaging and Receiver General Operations Directorate (IRGOD)
ISO 9001,Public Health Agency of Canada - National Microbiology Laboratory - Support Services
ISO 9001,Public Health Agency of Canada - National Microbiology Laboratory - Rendering and Biowaste operation
ISO 9001,Protech Chemical Ltd. (Oxyplast)
ISO 9001,Natural Resources Canada National Non-Destructive Testing (NDT) Certification Body CanmetMATERIALS
ISO 9001,MaxSys Staffing & Consulting Inc
ISO 9001,Kem-A-Trix Inc.
ISO 9001,Innovation Science and Economic Development Canada - Canadian Intellectual Property Office - Patent Branch
ISO 9001,IBT Technologies Inc.
ISO 9001,Health Canada - Biologic and Radiopharmaceutical Drugs Directorate
ISO 9001,Health Canada (A.L. 6302D1) - National Calibration Reference Centre for Bioassay & In Vivo Monitoring - Radiation Protection Bureau
ISO 9001,GEMTEC Consulting Engineers and Scientists Limited - UXO-Group
ISO 9001,Frequentis Canada Limited a division of Frequentis AG
ISO 9001,Fisheries and Oceans Canada-Canadian Hydrographic Service
ISO 9001,Department of National Defence Directorate - Construction Projects Delivery (DCPD)
ISO 9001,Department of National Defence - Royal Canadian Navy - Fleet Maintance Facility - Cape Scott
ISO 9001,Department of National Defence - Royal Canadian Navy - Fleet Maintance Facility - Cape Breton
ISO 9001,Cenovus Energy Lloydminster Refinery
ISO 9001,Canadian Grain Commission - Industry Services Division - head office
ISO 9001,Iskodenim
ISO 9001,S. Chand Group 
ISO 9001,Fineotex Chemical Limited
ISO 9001,Kerala Automobiles Limited
ISO 9001,CSIR-Structural Engineering Research Centre
ISO 9001,Kundan Group
ISO 9001,Haryana Power Generation Corporation Limited
ISO 9001,Delhi Police's Fingerprint Bureau
ISO 9001,MSEDCL Substations 
ISO 9001,Three Cattle Shelters in Varanasi
ISO 9001,Mahindra Ugine Steel 
ISO 9001,Fineotex Chemical Limited 
ISO 9001,Tamil Nadu Newsprint and Papers Limited
ISO 9001,SAP
ISO 27001,SunTec India
ISO 27001,Genpact India (Madurai)
ISO 27001,Verifacts Services Pvt Ltd 
ISO 27001,ASDintech Services Pvt Ltd 
ISO 27001,Corporate Investigations India Pvt Ltd
ISO 27001,Integrated Information Services Pvt Ltd
ISO 27001,Netrika Consulting India Pvt Ltd
ISO 27001,SunTec India
ISO 27001,CyberSapiens
ISO 27001,Bureau Veritas Certification India Pvt Ltd
ISO 27001,DNV GL Business Assurance India Pvt Ltd
ISO 27001,SGS India Private Limited
ISO 27001,BSI Group India Pvt Ltd
ISO 27001,Intertek India Private Limited 
ISO 27001,URS Certification Ltd
ISO 27001,Global Manager Group
ISO 27001,NQA Certification India Pvt Ltd
ISO 27001,Prowise Systems
ISO 27001,Indian Register Quality Systems 
ISO 27001,Delostyle Studio Private Limited
ISO 27001,Ignitarium
ISO 27001,Action1 
ISO 27001,Alibaba Group
ISO 27001,JPMorgan Chase & Co.
ISO 27001,Perimeter 81 
ISO 27001,Amazon Web Services (AWS)
ISO 27001,IBM
ISO 27001,ComplianceForge
ISO 27001,Velocity Software Solutions 
ISO 27001,Skyflow 
ISO 27001,Shodan
ISO 27001,itCraft
FairTrade,Kuapa Kokoo
FairTrade,Gepa
FairTrade,Alter Eco
FairTrade,CaféDirect
FairTrade,Equal Exchange Trading Ltd
FairTrade,Madewell
FairTrade,e.l.f. Beauty
FairTrade,Death Wish Coffee
FairTrade,Coyuchi
FairTrade,Terra Thread
FairTrade,Mightly
FairTrade,Bob's Red Mill
FairTrade,Just Ice Tea
FairTrade,Eco Lips
FairTrade,Senda Athletics
FairTrade,Thunder Island Coffee
FairTrade,TCHO
FairTrade,Pottery Barn
FairTrade,Patagonia
